Plate_ID,Assay_Well,Compound_ID,Cell_Line,Timepoint,Timepoint_Unit,Compound_Concentration,Counts
HD00030937,A24,BG,cl002,144,h,,0
HD00030937,B24,BG,cl002,144,h,,0
HD00030937,C24,BG,cl002,144,h,,24
HD00030937,D24,BG,cl002,144,h,,0
HD00030937,E24,BG,cl002,144,h,,0
HD00030937,F24,BG,cl002,144,h,,0
HD00030937,G24,BG,cl002,144,h,,0
HD00030937,H24,BG,cl002,144,h,,0
HD00030937,I24,BG,cl002,144,h,,0
HD00030937,J24,BG,cl002,144,h,,0
HD00030937,K24,BG,cl002,144,h,,0
HD00030937,L24,BG,cl002,144,h,,0
HD00030937,M24,BG,cl002,144,h,,0
HD00030937,N24,BG,cl002,144,h,,24
HD00030937,O24,BG,cl002,144,h,,48
HD00030937,P24,BG,cl002,144,h,,0
HD00030937,C12,NEG,cl002,144,h,,94344
HD00030937,D04,NEG,cl002,144,h,,98952
HD00030937,D21,NEG,cl002,144,h,,91440
HD00030937,E13,NEG,cl002,144,h,,98112
HD00030937,F08,NEG,cl002,144,h,,101112
HD00030937,F17,NEG,cl002,144,h,,97368
HD00030937,H03,NEG,cl002,144,h,,102504
HD00030937,H13,NEG,cl002,144,h,,98160
HD00030937,H22,NEG,cl002,144,h,,100584
HD00030937,I06,NEG,cl002,144,h,,100824
HD00030937,I12,NEG,cl002,144,h,,104184
HD00030937,I19,NEG,cl002,144,h,,103056
HD00030937,K08,NEG,cl002,144,h,,103104
HD00030937,K17,NEG,cl002,144,h,,110664
HD00030937,L12,NEG,cl002,144,h,,110592
HD00030937,M04,NEG,cl002,144,h,,105216
HD00030937,M21,NEG,cl002,144,h,,111432
HD00030937,N13,NEG,cl002,144,h,,117360
HD00030937,B06,COMP09944,cl002,144,h,5.68694E-11,98568
HD00030937,B09,COMP09944,cl002,144,h,7.02098E-10,84504
HD00030937,B15,COMP09944,cl002,144,h,7.02098E-10,83712
HD00030937,B18,COMP09944,cl002,144,h,5.68694E-11,97032
HD00030937,B20,COMP09944,cl002,144,h,1.89567E-11,95424
HD00030937,C09,COMP09944,cl002,144,h,1.89567E-11,95832
HD00030937,C15,COMP09944,cl002,144,h,1.7061E-09,71064
HD00030937,C18,COMP09944,cl002,144,h,1.89567E-11,92088
HD00030937,C20,COMP09944,cl002,144,h,5.68694E-11,96768
HD00030937,D09,COMP09944,cl002,144,h,6.31883E-12,101208
HD00030937,D18,COMP09944,cl002,144,h,5.68694E-11,96912
HD00030937,D20,COMP09944,cl002,144,h,1.89567E-11,93240
HD00030937,E09,COMP09944,cl002,144,h,1.89567E-11,94560
HD00030937,E18,COMP09944,cl002,144,h,1.89567E-11,92520
HD00030937,E19,COMP09944,cl002,144,h,5.68694E-11,94488
HD00030937,E20,COMP09944,cl002,144,h,5.68694E-11,94392
HD00030937,F09,COMP09944,cl002,144,h,5.68694E-11,95016
HD00030937,F18,COMP09944,cl002,144,h,6.31883E-12,103248
HD00030937,F19,COMP09944,cl002,144,h,5.68694E-11,95712
HD00030937,F20,COMP09944,cl002,144,h,5.68694E-11,98568
HD00030937,G09,COMP09944,cl002,144,h,6.31883E-12,102912
HD00030937,G18,COMP09944,cl002,144,h,7.02098E-11,97704
HD00030937,G19,COMP09944,cl002,144,h,6.31883E-12,101376
HD00030937,G20,COMP09944,cl002,144,h,7.02098E-10,89952
HD00030937,H05,COMP09944,cl002,144,h,7.02098E-10,86712
HD00030937,H09,COMP09944,cl002,144,h,6.31883E-12,102744
HD00030937,H18,COMP09944,cl002,144,h,7.02098E-11,98496
HD00030937,H19,COMP09944,cl002,144,h,7.02098E-11,96840
HD00030937,H20,COMP09944,cl002,144,h,7.02098E-10,86904
HD00030937,I05,COMP09944,cl002,144,h,7.02098E-11,93240
HD00030937,I09,COMP09944,cl002,144,h,6.31883E-11,103392
HD00030937,I14,COMP09944,cl002,144,h,6.31883E-11,102984
HD00030937,I18,COMP09944,cl002,144,h,1.7061E-10,89304
HD00030937,I20,COMP09944,cl002,144,h,1.7061E-10,89424
HD00030937,J05,COMP09944,cl002,144,h,6.31883E-12,105120
HD00030937,J14,COMP09944,cl002,144,h,6.31883E-12,107592
HD00030937,J19,COMP09944,cl002,144,h,1.7061E-10,85008
HD00030937,K05,COMP09944,cl002,144,h,5.11824E-11,109656
HD00030937,K14,COMP09944,cl002,144,h,5.11824E-11,104112
HD00030937,K19,COMP09944,cl002,144,h,1.7077E-10,82608
HD00030937,L05,COMP09944,cl002,144,h,6.44883E-12,107256
HD00030937,L14,COMP09944,cl002,144,h,6.44883E-12,109944
